Tiempo,Liga,Partido,Equipo,Jugador,Concepto,Valor,Concepto Real,Valor Real,Valor Numerico,Arbitro,Posicion ,
,argentina,,rosario central ,ferrari,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,ferrari,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,ferrari,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,gissi,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,19,,,
,argentina,,rosario central ,gissi,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,18,,,
,argentina,,rosario central ,gissi,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,8,,,
,argentina,,rosario central ,gissi,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,gissi,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,13,,,
,argentina,,rosario central ,gissi,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,alfani,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,alfani,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,alfani,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,18,,,
,argentina,,rosario central ,alfani,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,alfani,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,,,,
,argentina,,rosario central ,alfani,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,cetto,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,cetto,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,cetto,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,6,,,
,argentina,,rosario central ,cetto,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,cetto,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,2,,,
,argentina,,rosario central ,cetto,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,pinola,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,pinola,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,pinola,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,19,,,
,argentina,,rosario central ,pinola,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,18,,,
,argentina,,rosario central ,pinola,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,8,,,
,argentina,,rosario central ,pinola,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,leguizamon,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,13,,,
,argentina,,rosario central ,leguizamon,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,leguizamon,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,leguizamon,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,leguizamon,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,18,,,
,argentina,,rosario central ,leguizamon,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,salazar,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,salazar,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,salazar,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,salazar,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,salazar,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,salazar,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,villagra,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,villagra,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,villagra,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,2,,,
,argentina,,rosario central ,villagra,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,villagra,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,17,,,
,argentina,,rosario central ,villagra,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,rizzi,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,rizzi,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,rizzi,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,rizzi,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,rizzi,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,rizzi,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,19,,,
,argentina,,rosario central ,musto,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,18,,,
,argentina,,rosario central ,musto,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,8,,,
,argentina,,rosario central ,musto,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,musto,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,13,,,
,argentina,,rosario central ,musto,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,17,,,
,argentina,,rosario central ,musto,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,carrizo,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,carrizo,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,18,,,
,argentina,,rosario central ,carrizo,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,carrizo,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,carrizo,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,carrizo,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,fernandez,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,6,,,
,argentina,,rosario central ,fernandez,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,fernandez,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,2,,,
,argentina,,rosario central ,fernandez,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,fernandez,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,fernandez,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,camacho,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,19,,,
,argentina,,rosario central ,camacho,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,18,,,
,argentina,,rosario central ,camacho,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,8,,,
,argentina,,rosario central ,camacho,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,camacho,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,13,,,
,argentina,,rosario central ,camacho,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,martinez,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,martinez,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,martinez,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,18,,,
,argentina,,rosario central ,martinez,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,martinez,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,martinez,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,colman,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,colman,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,colman,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,colman,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,colman,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,colman,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,ojeda,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,2,,,
,argentina,,rosario central ,ojeda,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,ojeda,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,17,,,
,argentina,,rosario central ,ojeda,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,ojeda,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,ojeda,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,mansilla,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,mansilla,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,mansilla,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,mansilla,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,19,,,
,argentina,,rosario central ,mansilla,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,18,,,
,argentina,,rosario central ,mansilla,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,8,,,
,argentina,,rosario central ,pereyra,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,pereyra,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,13,,,
,argentina,,rosario central ,pereyra,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,17,,,
,argentina,,rosario central ,pereyra,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,pereyra,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,pereyra,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,18,,,
,argentina,,rosario central ,rivas,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,rivas,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,rivas,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,rivas,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,rivas,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,6,,,
,argentina,,rosario central ,rivas,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,banega,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,2,,,
,argentina,,rosario central ,banega,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,banega,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,banega,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,banega,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,19,,,
,argentina,,rosario central ,banega,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,18,,,
,argentina,,rosario central ,palavecino,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,8,,,
,argentina,,rosario central ,palavecino,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,palavecino,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,13,,,
,argentina,,rosario central ,palavecino,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,palavecino,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,palavecino,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,bordagaray,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,18,,,
,argentina,,rosario central ,bordagaray,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,bordagaray,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,bordagaray,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,bordagaray,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,bordagaray,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,herrera,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,herrera,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,herrera,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,herrera,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,herrera,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,2,,,
,argentina,,rosario central ,herrera,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,delgado,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,17,,,
,argentina,,rosario central ,delgado,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,delgado,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,delgado,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,delgado,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,delgado,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,guitierrez,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,guitierrez,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,19,,,
,argentina,,rosario central ,guitierrez,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,18,,,
,argentina,,rosario central ,guitierrez,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,8,,,
,argentina,,rosario central ,guitierrez,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,guitierrez,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,13,,,
,argentina,,rosario central ,migone,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,17,,,
,argentina,,rosario central ,migone,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,migone,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,migone,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,migone,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,6,,,
,argentina,,rosario central ,migone,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,lavera,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,2,,,
,argentina,,rosario central ,lavera,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,lavera,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,lavera,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,lavera,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,19,,,
,argentina,,rosario central ,lavera,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,18,,,
,argentina,,newell,pocrnijic,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,8,,,
,argentina,,newell,pocrnijic,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,15,,,
,argentina,,newell,pocrnijic,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,13,,,
,argentina,,newell,pocrnijic,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,17,,,
,argentina,,newell,pocrnijic,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,newell,pocrnijic,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,newell,humeler,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,18,,,
,argentina,,newell,humeler,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,newell,humeler,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,humeler,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,newell,humeler,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,newell,humeler,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,6,,,
,argentina,,newell,baez,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,baez,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,6,,,
,argentina,,newell,baez,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,baez,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,newell,baez,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,2,,,
,argentina,,newell,baez,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,newell,dominguez,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,17,,,
,argentina,,newell,dominguez,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,6,,,
,argentina,,newell,dominguez,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,newell,dominguez,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,2,,,
,argentina,,newell,dominguez,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,dominguez,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,9,,,
,argentina,,newell,escobar,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,9,,,
,argentina,,newell,escobar,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,19,,,
,argentina,,newell,escobar,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,18,,,
,argentina,,newell,escobar,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,8,,,
,argentina,,newell,escobar,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,escobar,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,13,,,
,argentina,,newell,formiliano,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,17,,,
,argentina,,newell,formiliano,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,newell,formiliano,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,newell,formiliano,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,18,,,
,argentina,,newell,formiliano,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,newell,formiliano,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,6,,,
,argentina,,newell,martinez,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,martinez,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,6,,,
,argentina,,newell,martinez,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,martinez,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,11,,,
,argentina,,newell,martinez,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,19,,,
,argentina,,newell,martinez,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,5,,,
,argentina,,newell,moiraghi,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,moiraghi,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,19,,,
,argentina,,newell,moiraghi,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,moiraghi,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,3,,,
,argentina,,newell,moiraghi,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,12,,,
,argentina,,newell,moiraghi,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,6,,,
,argentina,,newell,paz,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,newell,paz,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,6,,,
,argentina,,newell,paz,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,paz,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,6,,,
,argentina,,newell,paz,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,paz,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,16,,,
,argentina,,newell,ruiz diaz,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,2,,,
,argentina,,newell,ruiz diaz,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,newell,ruiz diaz,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,17,,,
,argentina,,newell,ruiz diaz,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,6,,,
,argentina,,newell,ruiz diaz,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,newell,ruiz diaz,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,2,,,
,argentina,,newell,san roman,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,san roman,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,9,,,
,argentina,,newell,san roman,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,9,,,
,argentina,,newell,san roman,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,19,,,
,argentina,,newell,san roman,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,18,,,
,argentina,,newell,san roman,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,8,,,
,argentina,,newell,sills,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,newell,sills,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,13,,,
